web-scraper-order,web-scraper-start-url,Location,Location-href,Name,Where,Deadline,Price,Institution,Description,Link,Link-href,,,,,,,,,,
1687112224-1,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Boston University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-boston-university,AIM,"Charles River, MA",No deadline,"$5,131 USD",Boston University,"Three-week program. AIM’s premedical track will provide you with a broad introduction to the field of medicine, combining coursework in related sciences with experiential learning activities and explorations of the various career possibilities that exist within the field.",See website,https://www.bu.edu/summer/high-school-programs/academic-immersion/introduction-to-medicine/,,,,,,,,,,
1687112224-2,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Boston University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-boston-university,Summer Challenge,"Boston, MA",No deadline,"$4,550 USD",Boston University,"Seminars range from Abnormal Psychology to Persuasive Writing among others. A 2-week program
It’s called Summer Challenge because it pushes you in so many ways. You will explore your interests, discover new ones, test your academic boundaries, and immerse yourself in the college experience. Along the way, you will make new friends and get to know more about Boston University. Are you up to the challenge?",See website,https://www.bu.edu/summer/high-school-programs/summer-challenge/seminars/,,,,,,,,,,
1687112224-3,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Boston University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-boston-university,BUTI,"Lenox, MA",14-Mar-23,"$3,700 USD",Boston University,"A chance to learn from and collaborate with musicians from the Boston Symphony Orchestra and the Tanglewood Music Center at BUTI. Depending on your instrument, you can attend programs ranging in duration from two to six weeks:

While at the program, you’ll get to experience a unique community of musicians - both peers and professionals - as well as attend Boston Symphony Orchestra events. In order to gain acceptance at Tanglewood, you have to nail an audition. You may apply for multiple disciplines, but will have to fill out applications and audition for each of them.",See website,https://www.bu.edu/mysummer/arts/tanglewood-institute/,,,,,,,,,,
1687112224-4,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Boston University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-boston-university,AIM: Creative Writing,"Charles River, MA",No deadline,"$5,131 + room/board",Boston University,"Intensive three-week writing program. Academic Immersion: Creative Writing is offered in partnership with BU’s MFA Program in Creative Writing, one of the oldest and most prestigious programs in the nation.  The program concludes with a “writers showcase,” where you will share one of your own pieces with peers and other members of the BU community.

During the program, you will:

Learn formal techniques and approaches to writing poetry, fiction, and screenplays
Study with accomplished writers who are part of BU’s MFA Program in Creative Writing, one of the most highly ranked programs in the country
Practice your craft and hone your style while gaining valuable insight into the writing process
Develop confidence in your creative writing abilities through constructive critique and feedback",See website,https://www.bu.edu/summer/high-school-programs/academic-immersion/creative-writing/,,,,,,,,,,
1687112224-5,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Boston University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-boston-university,Summer Sessions,"Boston, MA",No deadline,"~$10,000 USD (depending on number of credits)",Boston University,"The Emergence of Modern Europe; The Emerging United States; Catastrophe and Memory; among others. Get a real college experience in the heart of Boston, attending class alongside undergraduate students from BU and other colleges around the US and the world.
Earn up to 8 college credits that you can apply to your future studies. While at BU, you will share dorm life and social activities with students from the Research in Science & Engineering (RISE) program. To help you get to know everyone, and become familiar with the BU campus, and Boston, we plan a variety of fun group events during the first week. After that, each weekend has a planned activity along with some optional activities during the week. Your weeknights are free for homework, impromptu activities, and time with friends until curfew. Take a look at our Program Activities below to see the types of exciting events we plan.",See website,https://www.bu.edu/summer/high-school-programs/high-school-honors/,,,,,,,,,,
1687112224-6,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Boston University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-boston-university,PROMYS,"Boston, MA",4-Mar-23,"$5,500 USD",Boston University,"The Program in Mathematics for Young Scientists, or PROMYS, is a six-week intensive mathematics program designed for students across the globe. The program is held on Boston University’s campus. There are daily “Number Theory” lectures, and a great deal of independence for students to choose their own schedules and decide what they would like to study. In addition to the extensive learning opportunities, there is also “mandatory fun time” built into the weekly schedule so that students are able to have non-math related activities.",See website,https://promys.org/programs/,,,,,,,,,,
1687112224-7,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Boston University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-boston-university,RISE Internship / Practicum,"Boston, MA",No deadline,"$8,246 for residential students, $5,370 for commuter students",Boston University,"RISE Internship and Practicum program is a two-track program that is conducted at Boston University every summer. At this program, you will spend six weeks conducting lab research and advancing your skills in the field. For the internship, students will be assigned a research project and mentor, and work 40 hours a week. Students on this track will have the opportunity to choose their research topic from a list of many. For the practicum track, students will conduct group research focused on computational neurobiology.",See website,https://www.bu.edu/summer/high-school-programs/rise-internship-practicum/,,,,,,,,,,
1687112227-8,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Georgetown University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-georgetown-university,Entrepreneurship Academy,"Washington, DC",14-May-23,"$5,500 USD",Georgetown University,"The Entrepreneurship Academy is a two-week program that delves into the benefits and difficulties of managing your own business. The program covers topics such as choosing a start-up, prototype testing, market research, social innovation, global business, and operations. Participants will engage with accomplished entrepreneurs from various industries to gain insights into what it takes to succeed in any profession. There seems to be limited information available about the faculty helping with this program, so maybe see if you can find out more about the staff before choosing this program",See website,https://summer.georgetown.edu/programs/SHS10/entrepreneurship-academy,,,,,,,,,,
1687112227-9,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Georgetown University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-georgetown-university,Georgetown Pre-College Online Courses,No location,No deadline,"$1,495 USD",Georgetown University,"Are you considering a career in entrepreneurship, investing, or international relations? Georgetown University provides pre-college online courses for high school students who are at least 13 years old. These courses include engaging video lessons taught by distinguished Georgetown professors and the chance to connect with mentors. The great part about this program is that it's available year-round, so if you feel that schoolwork is a bit light you can do it during the school year while pursuing something else during the summer. The application process is also very straightforward, with no transcripts or letters of rec required.",See website,https://georgetown.precollegeprograms.org/business-programs?utm_term=business%20summer%20programs%20for%20high%20schoolers&utm_campaign=Medical+Research&utm_source=adwords&utm_medium=ppc&hsa_acc=9406006711&hsa_cam=12753923242&hsa_grp=134890798510&hsa_ad=569337586004&hsa_src=g&hsa_tgt=kwd-1852160395403&hsa_kw=business%20summer%20programs%20for%20high%20schoolers&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gclid=CjwKCAiA-dCcBhBQEiwAeWidtdjVjgozfNa2S0pR3AKBZ5Czw53HW-czwUvhhe1j3uVIs4vDU8VH6hoC9yIQAvD_BwE,,,,,,,,,,
1687112227-10,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Georgetown University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-georgetown-university,Georgetown Summer High School Science and Medical Program,"Washington, DC",14-May-23,"$2,500-3,225 USD",Georgetown University,"The 1-Week Medical Academy introduces you to the field of medicine and gives you a glimpse into the Georgetown University Medical Center, which includes the nationally ranked School of Medicine and School of Nursing & Health Studies, in addition to the world-renowned Lombardi Cancer Center. You'll explore topics ranging from human anatomy and physiology, microbiology, and infectious diseases to surgery, cancer, and biomedical ethics. You’ll participate in hands-on labs, use a patient simulator, and focus on some of today's pressing medical issues like COVID-19, preventative medicine, heart disease, and HIV.",See website,https://summer.georgetown.edu/programs/SHS19/medical-academy,,,,,,,,,,
1687112227-11,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Georgetown University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-georgetown-university,Creative Writing Academy,"Washington, DC",No deadline,"$2,500-3,225 USD",Georgetown University,"Transform your dreams, ideas, and stories into organized, compelling, creative written works with lectures by renowned literary figures from around the D.C. area, dynamic courses with Georgetown graduate student instructors, and insightful, productive feedback from your peers. This combination of workshops and tutorials will help you generate and polish a wealth of new poems, stories, and personal essays, and allow you to experiment with innovative forms in the field of creative writing. The Academy will also focus on the publishing and professionalization aspects of the industry, exploring what markets are available for your writing, what jobs are available to creative writers, funding opportunities for your work, undergraduate and graduate programs in writing, and how to get published. In addition, this week-long program will feature excursions to sites around Washington, D.C., an exercise in ekphrastic writing at the National Gallery of Art, and the chance to read your work aloud at Busboys and Poets, a famous D.C. literary hub.",See website,https://summer.georgetown.edu/programs/SHS07/creative-writing-academy,,,,,,,,,,
1687112227-12,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Georgetown University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-georgetown-university,Hoya Summer High School Sessions,"Washington, DC",14-May-23,"$2,500-6,950 USD",Georgetown University,"From 1-week Academies like International Relations Academy, U.S. Campaigns & Elections Academy, Washington & the World Academy, to the 3-week Foreign Policy Academy, students are invited to think bigger and discuss more thoughtfully, as they dive deeper into the respective field of study.",See website,https://summer.georgetown.edu/,,,,,,,,,,
1687112230-13,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Carnegie Mellon University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-carnegie-mellon-university,Summer Academy for Math and Science (SAMS),"Pittsburgh, PA",31-Jan-23,Free,Carnegie Mellon University,"Students will be challenged by this five-week course focusing on STEM concluding with a symposium. Participants will explore Math, Science, seminars, writing workshops, small group mentoring, collaborative learning, as well as have a chance to learn about financial aid, FAFSA, and college admissions.",See website,https://www.cmu.edu/pre-college/academic-programs/sams.html,,,,,,,,,,
1687112230-14,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Carnegie Mellon University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-carnegie-mellon-university,Human-Computer Interaction Institute REU,"Pittsburgh, PA",31-Jan-23,Free,Carnegie Mellon University,"The Human-Computer Informatics Summer Research Program (HCII) is an opportunity for undergraduates to spend 10 weeks at HCII doing valuable research and practical work with some of the world's top researchers. This work will have a strong impact on the future of the field. Research projects may include smart classroom sensors, educational games, accessibility, online health support groups, smartphone encryption devices, and the future of work.",See website,https://www.cs.cmu.edu/outreach/summer-research-opportunities,,,,,,,,,,
1687112230-15,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Carnegie Mellon University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-carnegie-mellon-university,Computer Science Scholars (CSS),"Pittsburgh, PA",14-Mar-23,Free,Carnegie Mellon University,"Students take a deep dive into the world of computer science through a combination of classroom instruction, hands-on research projects, faculty lectures, and industry engagement with leading tech companies around the country. As a CS Scholar you will engage in college-level courses in computer programming and mathematics, as well as weekly seminars that explore college admissions, financial aid, building independence, mental health, emotional wellness, and more. You will be given the opportunity to develop meaningful connections with peers and mentors while being fully immersed in the college experience. A core value of CS Pathways and the CS Scholars program is building an inclusive, anti-racist environment. You will be expected to uphold this value and to participate in discussions about equity within STEM education and society.",See website,https://www.cmu.edu/pre-college/academic-programs/computer-science-scholars.html#selection-criteria,,,,,,,,,,
1687112230-16,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Carnegie Mellon University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-carnegie-mellon-university,The Data Science Experience,"Pittsburgh, PA",14-Mar-23,$499 USD per unit,Carnegie Mellon University,"High school participants enroll in two college-level classes and take part in existing research projects that require analyzing data sets, coding data, and using other essential software to glean key insights from large troves of information.....a connected set of opportunities to learn about how data science can be harnessed to answer questions across all disciplines. Activities are optional and cover broad topics with something for everyone. Students will be able to participate regardless of experience or background. Data sets, code, analyses, and resources will be maintained and available to all during and after the program. Explore the side menus to learn more!",See website,https://www.stat.cmu.edu/datascienceexperience/#home,,,,,,,,,,
1687112233-17,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Stanford University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-stanford-university,Stanford Institutes of Medicine Summer Research Program (SIMR),"Stanford, CA",No deadline,Free,Stanford University,"Students at SIMR team up with Stanford staff and analysts to lead the clinical exploration. Participants select one of eight areas of study and are then dispensed to a lab where they will be tutored one-on-one. SIMR is an 8-week program open to current juniors and seniors, offering a stipend to participants.",See website,https://simr.stanford.edu/,,,,,,,,,,
